pitId,raceId,driverId,stop,lap,duration
165,844,808,1,8,21.422
166,844,13,1,9,22.022
167,844,1,1,9,20.833
168,844,67,1,9,21.769
169,844,17,1,10,21.050
170,844,4,1,10,21.308
171,844,3,1,10,22.573
172,844,2,1,10,22.300
173,844,22,1,10,22.717
174,844,16,1,10,21.649
175,844,20,1,11,20.623
176,844,814,1,11,20.775
177,844,813,1,11,23.881
178,844,18,1,13,21.368
179,844,155,1,13,21.820
180,844,153,1,13,22.713
181,844,15,1,13,23.066
182,844,30,2,14,20.907
183,844,39,1,14,27.353
184,844,5,1,15,22.854
185,844,24,1,15,24.634
186,844,815,2,16,22.895
187,844,816,1,16,22.779
188,844,24,2,16,56.611
189,844,808,2,19,21.323
190,844,1,2,20,21.075
191,844,17,2,21,20.421
192,844,3,2,22,20.927
193,844,2,2,22,21.919
194,844,4,2,23,21.732
195,844,13,2,23,21.322
196,844,67,2,23,22.128
197,844,155,2,23,23.455
198,844,22,2,24,22.868
199,844,814,2,24,20.930
200,844,20,2,25,20.112
201,844,16,2,25,21.084
202,844,813,2,25,22.555
203,844,15,2,25,22.862
204,844,18,2,26,22.639
205,844,39,2,27,24.962
206,844,153,2,29,21.826
207,844,30,3,30,20.379
208,844,5,2,31,21.633
209,844,814,3,32,20.887
210,844,815,3,32,22.365
211,844,3,3,33,20.949
212,844,1,3,34,35.688
213,844,816,2,33,24.837
214,844,808,3,34,21.838
215,844,13,3,34,23.471
216,844,17,3,35,20.843
217,844,4,3,36,21.702
218,844,2,3,36,20.872
219,844,24,3,35,25.125
220,844,155,3,38,22.456
221,844,18,3,39,21.417
222,844,153,3,39,21.986
223,844,20,3,40,20.385
224,844,15,3,39,22.219
225,844,67,3,40,22.032
226,844,22,3,40,21.687
227,844,16,3,40,21.006
228,844,24,4,37,43.603
229,844,813,3,41,21.827
230,844,815,4,42,21.715
231,844,3,4,44,20.308
232,844,814,4,44,21.403
233,844,17,4,45,22.087
234,844,808,4,45,21.662
235,844,30,4,45,20.597
236,844,4,4,46,21.379
237,844,813,4,45,13.925
238,844,1,4,46,22.041
239,844,2,4,46,21.884
240,844,13,4,46,26.685
241,844,20,4,47,20.489
242,844,39,3,45,24.474
243,844,5,3,53,23.114
244,844,153,4,55,21.931
245,845,155,1,1,24.871
246,845,815,1,7,23.592
247,845,813,1,8,22.689
248,845,20,1,9,20.253
249,845,67,1,9,20.818
250,845,4,1,10,20.567
251,845,17,1,10,20.881
252,845,30,1,10,20.084
253,845,1,1,11,19.761
254,845,808,1,11,21.856
255,845,3,1,11,20.647
256,845,13,1,11,20.800
257,845,153,1,11,20.741
258,845,22,1,11,29.936
259,845,16,1,13,20.773
260,845,18,1,14,20.015
261,845,39,1,14,24.843
262,845,814,1,15,20.070
263,845,15,1,15,22.364
264,845,5,1,16,21.019
265,845,24,1,16,23.157
266,845,10,1,16,22.744
267,845,816,1,17,23.176
268,845,20,2,18,19.887
269,845,4,2,19,20.238
270,845,17,2,19,20.079
271,845,813,2,20,24.821
272,845,13,2,21,21.635
273,845,2,1,21,21.322
274,845,1,2,23,20.235
275,845,22,2,23,21.226
276,845,153,2,24,20.872
277,845,67,2,25,24.745
278,845,155,2,25,21.128
279,845,30,2,26,20.487
280,845,808,2,26,24.232
281,845,3,2,27,19.534
282,845,4,3,29,20.738
283,845,17,3,29,20.279
284,845,5,2,28,20.807
285,845,815,2,29,21.143
286,845,15,2,29,21.723
287,845,39,2,28,24.448
288,845,18,2,30,20.763
289,845,16,2,30,20.267
290,845,814,2,32,20.126
291,845,20,3,34,20.426
292,845,1,3,35,20.473
293,845,816,2,34,22.982
294,845,22,3,35,20.650
295,845,13,3,36,22.419
296,845,813,3,36,21.574
297,845,2,2,36,21.953
298,845,153,3,36,21.019
299,845,4,4,39,20.380
300,845,10,2,38,21.632
301,845,30,3,41,20.451
302,845,808,3,41,21.739
303,845,5,3,41,23.068
304,845,3,3,42,20.395
305,845,67,3,42,20.819
306,845,15,3,43,23.001
307,845,155,3,44,20.500
308,845,17,4,47,19.984
309,845,20,4,48,20.292
310,845,815,3,47,21.829
311,845,18,3,48,20.107
312,845,1,4,49,20.988
313,845,16,3,48,23.230
314,845,39,3,47,24.298
315,845,2,3,50,20.796
316,845,153,4,50,23.143
317,845,816,3,49,21.708
318,845,814,3,51,20.573
319,845,813,4,53,22.077
320,845,10,3,53,21.170
321,845,22,4,54,20.637
322,846,30,1,12,35.084
323,846,18,1,15,25.280
324,846,3,1,15,25.189
325,846,20,1,16,28.536
326,846,17,1,16,37.735
327,846,4,1,17,25.352
328,846,5,1,19,26.477
329,846,814,1,20,24.970
330,846,1,1,22,31.445
331,846,10,1,22,26.827
332,846,15,1,24,25.595
333,846,813,1,25,26.468
334,846,13,1,26,26.615
335,846,39,1,25,28.325
336,846,814,2,27,19.360
337,846,808,1,28,28.856
338,846,153,1,29,25.907
339,846,22,1,32,25.921
340,846,18,2,33,26.421
341,846,814,3,32,47.226
342,846,2,1,33,25.851
343,846,67,1,33,26.073
344,846,4,2,34,31.382
345,846,3,2,33,25.310
346,846,24,1,32,28.298
347,846,816,1,33,27.577
348,846,155,1,34,28.642
349,846,16,1,34,25.037
350,846,39,2,33,39.917
351,846,1,2,43,19.347
352,846,15,2,46,26.065
353,846,18,3,48,24.670
354,846,1,3,49,26.977
355,846,5,2,52,25.878
356,846,3,3,53,25.116
357,846,813,2,54,25.687
358,846,17,2,55,26.269
359,846,153,2,56,27.550
360,846,67,2,62,25.045
361,846,816,2,63,26.464
362,846,16,2,68,27.879
363,846,22,2,68,25.675
364,846,2,2,69,26.281
365,847,18,1,8,23.650
366,847,24,1,9,27.202
367,847,18,2,13,14.501
368,847,22,1,15,23.305
369,847,16,1,16,24.052
370,847,4,1,17,23.893
371,847,3,1,17,23.105
372,847,813,1,17,23.571
373,847,67,1,17,23.949
374,847,816,1,17,24.143
375,847,30,1,18,24.472
376,847,4,2,19,26.348
377,847,18,3,19,23.868
378,847,3,2,19,22.986
379,847,153,1,19,26.045
380,847,22,2,19,25.066
381,847,5,1,19,44.037
382,847,15,1,19,51.684
383,847,813,2,19,24.943
384,847,20,1,20,23.872
385,847,17,1,20,29.546
386,847,67,2,20,24.649
387,847,13,1,21,24.886
388,847,30,2,21,24.196
389,847,816,2,23,30.497
390,847,816,3,33,24.655
391,847,30,3,34,22.832
392,847,16,2,34,22.923
393,847,10,1,34,24.425
394,847,22,3,34,24.684
395,847,67,3,34,23.970
396,847,2,1,35,23.113
397,847,814,1,35,22.479
398,847,18,4,35,23.589
399,847,37,1,35,30.288
400,847,153,2,35,24.863
401,847,813,3,35,23.593
402,847,24,2,35,34.897
403,847,155,1,36,23.687
404,847,13,2,36,22.742
405,847,808,1,36,23.816
406,847,17,2,36,22.402
407,847,4,3,36,26.129
408,847,3,3,36,22.735
409,847,15,2,36,23.332
410,847,816,4,36,14.538
411,847,20,2,37,22.958
412,847,39,1,37,29.115
413,847,18,5,37,31.718
414,847,814,2,43,28.630
415,847,16,3,45,14.565
416,847,16,4,49,32.449
417,847,17,3,50,22.770
418,847,22,4,50,23.059
419,847,67,4,50,26.561
420,847,814,3,50,14.538
421,847,18,6,51,23.741
422,847,153,3,51,23.338
423,847,813,4,51,23.700
424,847,10,2,51,25.079
425,847,39,2,51,29.540
426,847,30,4,52,22.869
427,847,13,3,52,22.560
428,847,2,2,52,23.364
429,847,37,2,52,24.039
430,847,15,3,52,25.140
431,847,816,5,52,30.714
432,847,20,3,53,22.526
433,847,24,3,52,33.278
434,847,155,2,53,24.618
435,847,808,2,53,24.145
436,847,3,4,53,22.702
437,847,13,4,53,28.346
438,847,814,4,53,23.129
439,847,813,5,61,31.701
440,848,813,1,10,21.301
441,848,2,1,11,22.114
442,848,22,1,11,21.163
443,848,155,1,11,23.492
444,848,1,1,12,20.340
445,848,3,1,12,21.054
446,848,16,1,12,20.676
447,848,17,1,13,20.465
448,848,20,1,14,21.006
449,848,4,1,14,21.477
450,848,18,1,14,20.997
451,848,30,1,14,21.201
452,848,814,1,14,20.567
453,848,67,1,14,21.321
454,848,5,1,14,23.241
455,848,39,1,14,28.030
456,848,13,1,15,20.718
457,848,808,1,15,22.104
458,848,30,2,15,30.665
459,848,24,1,15,24.459
460,848,10,1,17,21.900
461,848,15,1,18,23.327
462,848,816,1,18,21.943
463,848,153,1,19,21.391
464,848,1,2,24,21.035
465,848,815,1,25,21.939
466,848,67,2,26,20.460
467,848,5,2,26,21.126
468,848,2,2,27,22.285
469,848,814,2,27,20.818
470,848,808,2,27,21.168
471,848,17,2,28,20.319
472,848,16,2,28,20.286
473,848,22,2,28,21.262
474,848,813,2,28,21.805
475,848,4,2,29,20.551
476,848,24,2,28,22.766
477,848,20,2,30,20.441
478,848,18,2,30,20.325
479,848,3,2,30,23.547
480,848,39,2,29,24.675
481,848,13,2,31,25.537
482,848,30,3,31,21.168
483,848,155,2,33,20.545
484,848,15,2,34,22.131
485,848,816,2,37,22.250
486,848,808,3,39,21.105
487,848,2,3,40,21.472
488,848,22,3,40,21.286
489,848,17,3,42,20.367
490,848,1,3,42,20.212
491,848,153,2,42,21.103
492,848,5,3,42,22.632
493,848,16,3,43,21.036
494,848,10,2,42,22.030
495,848,814,3,44,21.069
496,848,4,3,45,20.136
497,848,24,3,43,22.235
498,848,813,3,44,21.490
499,848,3,3,45,20.896
500,848,67,3,45,20.995
501,848,20,3,47,20.331
502,848,39,3,44,26.059
503,848,13,3,48,20.404
504,848,18,3,48,20.479
505,849,30,1,9,30.242
506,849,2,1,10,24.716
507,849,18,1,11,25.070
508,849,16,1,11,25.737
509,849,155,1,11,28.448
510,849,813,1,11,26.238
511,849,67,1,11,26.279
512,849,808,1,11,24.880
513,849,22,1,11,25.860
514,849,10,1,11,25.416
515,849,24,1,11,26.643
516,849,816,1,11,28.742
517,849,17,1,12,23.973
518,849,4,1,12,26.566
519,849,1,1,12,25.100
520,849,814,1,12,26.612
521,849,3,1,12,24.722
522,849,815,1,12,25.386
523,849,153,1,12,24.719
524,849,817,1,12,25.872
525,849,20,1,13,24.818
526,849,13,1,13,24.159
527,849,30,2,16,31.751
528,849,155,2,20,31.551
529,849,1,2,24,24.065
530,849,814,2,24,45.291
531,849,813,2,24,24.272
532,849,16,2,25,24.077
533,849,67,2,25,24.620
534,849,17,2,26,25.490
535,849,18,2,26,24.287
536,849,13,2,26,23.929
537,849,814,3,26,31.471
538,849,20,2,27,31.558
539,849,4,2,27,23.974
540,849,816,2,28,25.428
541,849,817,2,28,26.942
542,849,3,2,30,24.399
543,849,2,2,30,24.434
544,849,10,2,30,24.959
545,849,153,2,31,24.095
546,849,30,3,31,24.651
547,849,22,2,31,23.955
548,849,815,2,32,25.619
549,849,24,2,31,25.505
550,849,813,3,35,23.869
551,849,20,3,36,23.137
552,849,1,3,37,23.340
553,849,17,3,38,23.785
554,849,808,2,38,24.172
555,849,4,3,39,23.474
556,849,18,3,39,23.292
557,849,16,3,40,27.240
558,849,13,3,41,23.238
559,850,815,1,8,27.247
560,850,67,1,10,27.301
561,850,812,1,10,31.879
562,850,17,1,14,20.440
563,850,3,1,14,20.348
564,850,30,1,15,20.768
565,850,813,1,15,21.601
566,850,1,1,16,20.982
567,850,4,1,16,20.430
568,850,20,1,16,20.394
569,850,13,1,17,20.344
570,850,155,1,20,20.882
571,850,24,1,20,22.048
572,850,817,1,21,22.319
573,850,16,1,22,20.839
574,850,10,1,22,22.252
575,850,808,1,23,21.449
576,850,153,1,23,21.062
577,850,814,1,23,23.676
578,850,18,1,24,20.952
